imageID,Image,Pitch,Yaw,Roll,Eye Aspect Ratio,Mouth Aspect Ratio,Occ_au_1,Occ_au_2,Occ_au_3,Occ_au_4,Occ_au_6,Occ_au_9,Occ_au_12,Occ_au_20,Occ_au_28,imageDBName,imageCat,lookup_key
83,B24PosBW.bmp,15.02267818742334,-0.9028338090069671,-0.03442278125330352,0.8108387754543924,0.585946378544366,0.9601938300199345,0.8291123942102271,0.8616622308738608,0.5981375692889694,0.8543530704925232,0.04304210638161318,0.3962598082366364,0.821309027090136,0.0031072721051978386,B24,3,B24Pos
84,B25NegBW.bmp,24.049545467558367,-2.4587422169170092,-0.09390695418149332,0.8117882699285612,0.6020712900127206,0.8812103627467236,0.7652882938213753,0.9355120283008035,0.9713924566862159,0.8489198122422476,0.10960842237688659,0.04634066776272341,0.7081416031072401,0.003696257813979728,B25,1,B25Neg
86,B25NeuBW.bmp,0.2820466142789327,-3.654142343128299,0.030855488246035116,0.8607446450862194,0.49579876805833584,0.4640846571199723,0.7122038239605089,0.08870228292813284,0.013170396851962614,0.004214966255255679,0.0004169841741143249,0.010337286121939198,0.005785985107664044,0.238363974150843,B25,2,B25Neu
87,B26NegBW.bmp,-8.220283898277561,0.9217895990498857,-0.026685375141493693,0.830813464664214,0.49920679773526794,0.7857913860050159,0.7885878949637324,0.7077102742882007,0.20518570421043072,0.1932867846436748,0.00586344252975328,0.106095499723725,0.6897477464322916,0.22356657129362362,B26,1,B26Neg
90,B26PosBW.bmp,-1.4063209153395893,6.289391104721194,0.15486447078677357,0.882452135549231,0.5818925903510944,0.708531215086945,0.41644877988621914,0.10798272638408174,0.04719271752406628,0.3463109481657136,0.007004863539337226,0.7476179968921327,0.5933255742449662,0.014614357140889614,B26,3,B26Pos
91,B27NegBW.bmp,2.068146642238203,7.765824515534562,0.12319748169040054,0.8140201216960614,0.5266114581149618,0.6706079509282529,0.12075782854626285,0.953383126807442,0.8333108590021823,0.9508232038321858,0.1743569908700277,0.1346406938592511,0.9430164851369515,0.013124439893236783,B27,1,B27Neg
94,B27PosBW.bmp,-1.1364009396922061,-0.7633883989715424,-0.0058236125087663335,0.8536785182031876,0.502889903285628,0.6133940438962366,0.3976154749270143,0.06030419326762779,0.005414869376796699,0.30925757705988033,0.0006828000088609476,0.7334913670660062,0.27166648310828423,0.1504477602354841,B27,3,B27Pos
95,B28NegBW.bmp,-6.011296391793876,-18.06157022096282,0.36211450701368764,0.7423550667954835,0.5586490637919861,0.27608789852181476,0.1284605112567066,0.990732831958021,0.991030816432224,0.9532958202145233,0.9775968554516091,0.051967898939208695,0.9219988559624396,0.002897582579067033,B28,1,B28Neg
96,B28NeuBW.bmp,2.904158082277171,-0.9765850371348335,-0.05144193600002432,0.8854935284235568,0.5028765027341041,0.6504648064361187,0.5887633067359592,0.03501440440382314,0.0006637414380317666,0.018588456541136715,2.9954060550203796e-05,0.009953761907509856,0.047908039396859774,0.062277921375189955,B28,2,B28Neu
97,B28PosBW.bmp,7.355232206191431,-1.5484683435858297,-0.14905145007248036,0.857310122385471,0.6420261207959554,0.27961178513473817,0.12968574049985945,0.03918233602045715,0.018662937609463106,0.21210249831471178,0.00036177795350920093,0.586758171179095,0.11042357801507166,0.017329584833760226,B28,3,B28Pos
98,B29NegBW.bmp,-11.14615169074385,10.917997494389896,0.34384146119916653,0.7851005777073325,0.5155822673295107,0.40944295683508763,0.12754079756757497,0.7691692577507577,0.8616617319992527,0.4594913250541446,0.0026813481745830373,0.1142302013192009,0.542986795425554,0.008241097166445738,B29,1,B29Neg
100,B29PosBW.bmp,-8.039175875223082,13.278071034252834,0.3320181915818214,0.8367343550185077,0.520993607113551,0.6488473483031401,0.5984236933114755,0.17654846060581358,0.21425391412216616,0.9800207463327674,0.0010235264447101171,0.9780829169637604,0.505647797385301,0.007685457767169544,B29,3,B29Pos
101,B30NegBW.bmp,17.210664326907853,-1.529695095161056,-0.060559767413783855,0.8511530806187222,0.506986746162945,0.6530127133774936,0.4215251804700164,0.7709437731981704,0.054690425359357454,0.9300859664128777,0.017890107720761522,0.02881036790924964,0.1422810021813893,0.004923025190755473,B30,1,B30Neg
102,B30PosBW.bmp,2.792679609314589,-0.8874122662123065,-0.030442460388101528,0.8451876408022453,0.5215686932144616,0.20478410921001655,0.1724358019839849,0.7867366648258888,0.8068917383595385,0.7463097183640431,0.0115593181624161,0.22940268692524116,0.7245443242445971,0.003769481145301698,B30,3,B30Pos
104,B31NegBW.bmp,7.4858556744580245,2.9508655108925836,-0.018604713150562883,0.7515337420576316,0.5375109065758954,0.7217491908658087,0.3657711777214695,0.9687088765293048,0.9924291021368534,0.9937525139488501,0.8643384006197059,0.7708072749741514,0.9722076865864792,0.009483975433135977,B31,1,B31Neg
107,B32NegBW.bmp,-6.365450572479735,13.57172092658445,0.2716887570899509,0.8086904862661245,0.515612066084681,0.24270308357089712,0.49412898308184267,0.052401394381201415,0.15614479138928844,0.6334538861796359,0.05586566778209231,0.13332030264148279,0.18049478362779076,0.07511004714031808,B32,1,B32Neg
108,B32NeuBW.bmp,0.052120609219127124,3.5053485434173624,-0.06438482268181547,0.9118388992508382,0.5104370618790667,0.8360896478181177,0.8573093258501127,0.2809287860484973,0.002068013001717097,0.004378045805395285,1.2123522010560597e-05,0.004853672758820479,0.002827050206074815,0.005875361685866218,B32,2,B32Neu
110,B33NeuBW.bmp,-1.2456752133826743,10.257293853300038,0.07282775480199713,0.8905885888204361,0.5127129364146794,0.2495298778016028,0.2996910962207381,0.2566740986955533,0.0579191446240988,0.04182306148572985,0.0007429581379351706,0.00892203185049042,0.17779102930563356,0.0013026026853336042,B33,2,B33Neu
111,B33PosBW.bmp,-6.728371856765405,9.442129099707554,0.21173900943991392,0.8247299111754239,0.5239560827763307,0.5862831097724036,0.6994339901623233,0.3902054765268209,0.05834307576082294,0.925685099605494,0.0618530911290452,0.8405435457704886,0.4314206155206136,0.005396020385063391,B33,3,B33Pos
143,G1Neu1BW.bmp,9.657945078401562,3.937777854686375,0.019930961304748227,0.9007904503910612,0.5614848755156474,0.8618083242485317,0.9530306559150363,0.7996505143969725,0.017743334054345142,0.036808069707302576,5.4105401165211555e-05,0.0717347314544052,0.10986062908427419,0.009478981554086883,,2,nan
