imageID,Image,Occ_au_1,Occ_au_2,Occ_au_4,Occ_au_6,Occ_au_7,Occ_au_10,Occ_au_12,Occ_au_14,Occ_au_15,Occ_au_17,Occ_au_23,Occ_au_24,imageDBName,imageCat,lookup_key
1,B1NegBW.bmp,0.051391076,0.005563093,0.000307478,0.052220687,0.9995384216308594,0.000270707,0.004598131,0.014014745131134987,2.1836582163814455e-05,1.5616136806784198e-05,3.554343857103959e-05,1.7411338149031508e-08,B1,1,B1Neg
2,B1PosBw.bmp,0.013505191542208195,0.07075984,9.747510921442881e-05,0.9983780384063721,0.9999996423721313,0.7144708037376404,0.9999383687973022,0.4671643078327179,8.111509487207513e-06,2.579050306650288e-09,0.001793459,3.9598165813004016e-07,B1,3,B1Pos
3,B2NegBw.bmp,0.10370449721813202,0.001204098,0.012648961506783962,0.9999882578849792,0.9999990463256836,0.8966074585914612,0.9999164342880249,0.9804503917694092,3.77712829902066e-08,1.9793338842943875e-11,0.000330404,9.233028563926382e-09,B2,1,B2Neg
4,B2NeuBW.bmp,0.10588096082210541,0.3313128650188446,1.0152326268553225e-07,3.765446621173396e-08,0.7368793487548828,1.2082158718840219e-05,5.222211711952696e-06,0.005558769,3.621002906584181e-05,1.697302991487959e-07,1.3770647910860134e-06,2.61124732947593e-10,B2,2,B2Neu
6,B2PosBW.bmp,0.016891958191990852,0.043713398,5.852531103300862e-05,0.9999828338623047,0.9999998807907104,0.8641440868377686,1,0.5009042620658875,3.8002624933142215e-05,3.3001845613916947e-13,4.2464038415346295e-05,5.713486324679384e-13,B2,3,B2Pos
7,B3NegBw.bmp,0.022406777,0.9898995161056519,2.5373323234156864e-13,2.862159077451909e-12,0.006942789,0.7453657984733582,9.43644845392555e-05,0.006439839,0.024992849677801132,3.2439797514882684e-09,0.011359458789229393,2.3318096342705985e-09,B3,1,B3Neg
9,B3PosBW.bmp,0.21002274751663208,0.001499573,3.75458958221846e-15,0.9996589422225952,0.5286029577255249,0.7623616456985474,0.9998689889907837,0.5461992025375366,5.347388196241809e-06,1.8357262376866856e-09,0.000211972,9.447398917859784e-14,B3,3,B3Pos
10,B4NegBw.bmp,0.001483696,3.5191525967093185e-05,0.30897998809814453,0.4516535997390747,1,0.9050803780555725,0.28762152791023254,0.7935096025466919,0.11824581772089005,7.587421246846304e-10,0.020869346,3.0041472239526745e-13,B4,1,B4Neg
13,B4PosBW.bmp,0.16389763355255127,0.011349277570843697,0.00039787,0.9797967076301575,0.999992847,0.007708738,0.9999827742576599,0.2408330738544464,2.081921657293151e-08,9.111537219164134e-11,0.000342411,1.3210152589870905e-11,B4,3,B4Pos
14,B5NegBW.bmp,0.019202922,0.000688649,6.287131782301003e-06,0.47340911626815796,0.999173105,0.8492670059204102,0.000420771,0.004000006,1.9097456970484927e-05,2.7880639463795376e-10,0.000407265,3.487055708135847e-15,B5,1,B5Neg
16,B5NeuBW.bmp,0.009911278,0.000729151,1.6122613053473525e-16,3.813627699855715e-06,0.010259354,0.9549909830093384,0.000139729,0.003982231,1.7029726677719736e-06,1.5151871934904193e-07,0.000115236,2.712717162012268e-09,B5,2,B5Neu
17,B5PosBW.bmp,0.003246093,0.001593764,9.691612490314583e-08,0.6027780175209045,0.9889256358146667,0.9978856444358826,0.11618207395076752,0.11386290192604065,3.186545291100629e-05,4.807560127773058e-09,0.001939102,1.3271288956673288e-08,B5,3,B5Pos
19,B6NegBW.bmp,0.001946463,0.004136138,0.053948841989040375,0.9792130589485168,1,0.7100473046302795,0.8441166877746582,0.6969849467277527,0.000112265,1.175165653677368e-08,9.566706182795315e-08,4.334615298125103e-15,B6,1,B6Neg
21,B6PosBW.bmp,0.001203209,0.11363382637500763,9.69378050053038e-11,0.5810679793357849,0.9999999403953552,0.8889232277870178,0.9807128310203552,0.064317286,3.607648295655963e-07,2.6068840952575556e-07,0.001101674,2.193756332146508e-20,B6,3,B6Pos
22,B7NegBW.bmp,0.004230567,0.000378549,0.008313153,0.003617414,0.9997706413269043,4.97599921800429e-06,5.961044371360913e-05,0.011423495598137379,0.006843871,1.504018090625614e-11,3.950649940520634e-08,2.91852143163851e-06,B7,1,B7Neg
23,B7NeuBW.bmp,0.39621976017951965,0.9772658944129944,1.7889759840698242e-20,2.3106119897420285e-06,0.014029880985617638,0.5420740246772766,0.043300465,0.026407970115542412,2.848739555361135e-08,4.7885180265438976e-08,0.006804022,5.540744307808154e-09,B7,2,B7Neu
24,B7PosBW.bmp,0.076501481,0.10211655497550964,1.0700341307456895e-10,0.6517863273620605,0.9999909400939941,0.6891430020332336,0.401048481,0.12847425043582916,3.4582927810333786e-07,6.42649311544119e-09,0.00055711,1.5879584160192334e-13,B7,3,B7Pos
27,B8NeuBW.bmp,0.198722705,0.6723654270172119,3.4710751080969146e-16,2.473033999805807e-10,0.7437769174575806,0.036945756524801254,0.000653049,0.021637428551912308,3.757645026780665e-05,8.709372423254536e-08,0.00330497,3.527854278238124e-13,B8,2,B8Neu
28,B9NegBW.bmp,[],[],[],[],[],[],[],[],[],[],[],[],B9,1,B9Neg
29,B9NeuBW.bmp,0.193884477,0.575657308,1.8132404875359498e-06,2.5388842459506122e-06,0.8861694931983948,3.8894745557627175e-06,2.183140850320342e-07,0.005092793,0.011730849,0.32344499230384827,0.000306398,1.2294847084870497e-10,B9,2,B9Neu
30,B9PosBW.bmp,0.003368088,0.1931404173374176,0.030430309,0.9994146227836609,0.9999995231628418,0.026071349158883095,0.021687885746359825,0.9887480139732361,4.017605897388421e-05,1.2973851593739427e-12,6.539239620906301e-06,1.0698278539640095e-14,B9,3,B9Pos
32,B10NegBW.bmp,0.014992106705904007,0.001231924,0.008435909,0.9589353203773499,0.9999998807907104,0.9534514546394348,0.033920877,0.019705201,0.091460407,0.073654681,0.003163417,1.3789367585559376e-05,B10,1,B10Neg
33,B10NeuBW.bmp,1.710576361801941e-05,0.000379897,1.35284526636692e-11,1.3860920262231957e-05,0.9900972247123718,0.000151894,3.0537860311596887e-06,0.67227757,0.1694137454032898,1.9314018118166132e-07,0.025086418,2.650467934017797e-07,B10,2,B10Neu
34,B10PosBW.bmp,0.000209904,0.000372622,8.914720092434436e-05,0.9999281167984009,1,0.9863775372505188,0.9999937415122986,0.8031955361366272,1.0410285540274344e-05,2.0696349167792505e-07,1.3899903024139348e-05,3.915950137940716e-13,B10,3,B10Pos
36,B11NegBW.bmp,0.000298836,0.018515415489673615,0.6895025372505188,0.9991539716720581,0.9999890327453613,0.003552182,0.000282494,0.6022838354110718,7.805244450764803e-08,3.766682311834302e-06,0.000484924,9.141293386820697e-17,B11,1,B11Neg
38,B11PosBW.bmp,0.00067317,0.000120609,2.4293663021741126e-15,0.9967912435531616,0.9993806481361389,0.2540641725063324,0.8934370875358582,0.8591547608375549,2.5155060257020523e-07,6.71393962647926e-08,0.018402703,2.5308052045147633e-06,B11,3,B11Pos
39,B12NegBW.bmp,0.1659328043460846,0.002596474,0.9977806806564331,0.3847114145755768,1,0.9511446952819824,0.09643507,0.2731814682483673,0.5203543305397034,2.8980038854764523e-11,0.003390706,1.4199707330047577e-21,B12,1,B12Neg
41,B12PosBW.bmp,0.2795509696006775,0.2265271544456482,0.006526267,0.4872642159461975,0.9975500702857971,0.9309585690498352,0.8164392113685608,0.5776855945587158,8.41487508296268e-06,2.6523383489518437e-10,0.4545780122280121,8.525801592496052e-11,B12,3,B12Pos
42,B13NegBW.bmp,0.025873009115457535,4.158114279562142e-06,8.595950475864811e-07,0.9960454106330872,0.9999997615814209,0.9647361040115356,0.9992294907569885,0.18431241810321808,1.5035278693176224e-06,3.993516975442368e-11,0.7952375411987305,1.3047777918870351e-12,B13,1,B13Neg
45,B13PosBW.bmp,0.019660516,0.019105900079011917,4.586397372996487e-10,0.609734833,0.9999975562095642,0.9567130208015442,0.9916861653327942,0.012381183914840221,8.408655993719094e-10,2.048959446554477e-09,0.002461316,2.1655980231728017e-13,B13,3,B13Pos
46,B14NegBW.bmp,0.001239618,0.000504667,0.005378103,0.9999588131904602,0.9998922944068909,0.458201528,0.923544168,0.9979864358901978,1.1553679257758631e-07,1.3299180645631736e-09,0.001106118,1.5515324136572417e-08,B14,1,B14Neg
47,B14NeuBW.bmp,0.1323171705007553,0.9275099635124207,2.1483622172913108e-11,3.8491112424113294e-13,0.066406235,0.017919711768627167,0.000192358,2.341776962566655e-05,6.913227323934734e-09,1.9510211132001132e-05,1.0046265686014522e-07,2.719715008758783e-10,B14,2,B14Neu
48,B14PosBW.bmp,0.1262708306312561,0.017958574,8.368663628743889e-08,0.020064216,0.9803372025489807,0.029695012,0.9434922933578491,0.018347715958952904,1.1074499539631688e-08,7.233111887217092e-09,0.000110303,7.521991918224558e-09,B14,3,B14Pos
49,B15NegBW.bmp,0.071950167,0.020894410088658333,0.008266089,0.9728968739509583,0.9999736547470093,0.006257968,0.013437082059681416,0.9579843878746033,3.071408355026506e-05,4.7314034645751235e-07,0.001626318,5.652002252857927e-15,B15,1,B15Neg
52,B15PosBW.bmp,0.27206066250801086,0.9951637983322144,1.5222057072605821e-06,0.042172204703092575,0.9992461800575256,8.749399057705887e-06,0.000139999,0.9559407830238342,0.007270448,3.5899845318709822e-09,8.00849447841756e-05,1.667185053205733e-12,B15,3,B15Pos
53,B16NeuBW.bmp,0.12746955454349518,0.004355402,0.030085738748311996,0.090361312,0.5931957364082336,0.000145834,0.050327152013778687,0.7187038064002991,0.000145786,5.809253522670588e-09,1.8734874984716043e-08,8.27591554314333e-12,B16,2,B16Neu
55,B16PosBW.bmp,0.082356378,0.010462977,2.1137571673459504e-14,0.41315123438835144,0.9997736811637878,0.9265779256820679,0.999998927,0.11115649342536926,8.518848959582215e-10,3.1379135401188307e-12,3.093584382440895e-05,2.8865473900019367e-10,B16,3,B16Pos
57,B17NegBW.bmp,1.4645774371047082e-08,2.389669680269435e-05,0.7992451190948486,0.8180676102638245,1,2.0375241547299083e-06,0.097723536,0.920323372,0.001179067,3.683408067445271e-05,0.10055670887231827,6.008992762116447e-18,B17,1,B17Neg
58,B18NegBW.bmp,0.18340317904949188,3.335916209934453e-09,0.002019107,0.056952462,0.9999998807907104,0.36620229482650757,1.7384583372859197e-07,0.9941976070404053,2.2994076971372124e-06,0.5203271508216858,4.1284227336291224e-05,8.403476211334832e-14,B18,1,B18Neg
60,B18NeuBW.bmp,0.26972267031669617,0.003249889,2.183273161327111e-14,9.101801978772528e-09,0.027539432048797607,0.1103607639670372,2.537337422836572e-06,0.012671797,4.694431936513865e-06,2.185581251978874e-06,4.864691618422512e-07,2.7730958154781327e-11,B18,2,B18Neu
61,B18PosBW.bmp,0.000995262,0.009958453,6.092359949860793e-11,0.9742502570152283,0.9999592900276184,0.15548937022686005,0.6962510943412781,0.042616975,1.4643427803662235e-08,1.1041796643684876e-10,1.369373281434605e-09,1.780505267962723e-14,B18,3,B18Pos
63,B19NegBW.bmp,0.001962274,0.26313579082489014,0.002624943,0.9585790038108826,0.9999995827674866,0.7875818610191345,0.15628227591514587,0.037649658,4.0104832805809565e-06,5.118733881204207e-09,1.4315354235350242e-07,4.7644297361537635e-12,B19,1,B19Neg
65,B19PosBW.bmp,0.054849751,0.044576898,1.023191659844198e-14,0.49242883920669556,0.9999998807907104,0.016318262,0.9974594712257385,0.40552639961242676,1.883293043647427e-05,7.371347422160859e-15,1.3183185956222587e-06,3.082610148228903e-18,B19,3,B19Pos
67,B20NegBW.bmp,0.2538752555847168,0.010393776930868626,2.1326246324449016e-10,8.66395712364465e-05,0.5074900388717651,0.032971088,5.543294534504639e-08,0.005764465,0.000503365,0.039728902,8.569031342631206e-05,3.6501091038587674e-09,B20,1,B20Neg
70,B20PosBW.bmp,0.12519460916519165,0.066785477,1.4810698240746989e-12,0.009316043,0.9961432218551636,0.8304682374000549,0.9583807587623596,0.015520489774644375,1.0578579349385109e-05,3.393633291048914e-11,0.014990901574492455,1.2761125489646474e-11,B20,3,B20Pos
71,B21NegBW.bmp,0.014905915595591068,0.42237839102745056,0.006185889,0.6775463819503784,0.9166460037231445,2.319347913726233e-06,0.000300927,0.000979376,1.8787625322147505e-07,8.143340862742932e-11,5.8887977502308786e-05,1.1185020437656283e-18,B21,1,B21Neg
72,B21NeuBW.bmp,0.356055886,0.074092187,4.2804745614992076e-14,1.5935040786896337e-10,0.000312209,0.00532881,1.2064714610460214e-05,0.00121072,3.6340168207971146e-06,3.600944629283953e-12,1.5571481526421849e-06,1.4701949806701707e-15,B21,2,B21Neu
